V_m3,T_K,vdot_m3_s,C0_A_mol_m3,C0_B_mol_m3,Cout_A_mol_m3,Cout_B_mol_m3
0.000164,358.15,3.33E-08,1903.703704,53.55371901,817.0696296,25.66975775
0.000164,358.15,1.67E-08,1903.703704,53.55371901,506.0044444,14.42823679
0.000064,358.15,1.67E-08,1903.703704,53.55371901,1015.435556,33.28813839
0.000164,348.15,1.67E-08,1903.703704,53.55371901,1000.015556,32.88732284
0.000164,353.15,1.67E-08,1903.703704,53.55371901,793.082963,28.68010749
0.000164,363.15,1.67E-08,1903.703704,53.55371901,331.0540741,9.692783304
0.000164,358.15,1.67E-08,2538.271605,71.40495868,533.037037,15.86850074
0.000164,358.15,1.67E-08,1269.135802,35.70247934,368.0493827,9.688977822
0.000164,358.15,1.67E-08,1903.703704,17.79173554,861.997037,4.814895663
0.000164,358.15,1.67E-08,1903.703704,35.50413223,587.1022222,7.690956815
0.000164,358.15,1.67E-08,1903.703704,26.7768595,755.3896296,6.479829602
0.000164,358.15,1.67E-08,1903.703704,44.42975207,549.98,11.46516511
0.000164,358.15,1.67E-08,916.6666667,53.55371901,265.8333333,16.33131149
0.000164,358.15,1.67E-08,1234.567901,53.55371901,336.4197531,15.85637108
0.000164,358.15,1.67E-08,1558.641975,53.55371901,422.7037037,14.45989462
0.000164,358.15,1.67E-08,1903.703704,53.55371901,423.5740741,13.8736081
0.000164,358.15,1.67E-08,2567.901235,53.55371901,564.9382716,11.65359011
0.000064,363.15,1.67E-08,1903.703704,53.55371901,697.1362963,18.41800257
0.000164,363.15,0.00000002,1903.703704,53.55371901,380.5503704,6.782508338
0.000164,363.15,2.33E-08,1903.703704,53.55371901,399.397037,18.41800257
0.000164,358.15,1.33E-08,1903.703704,53.55371901,282.3192593,7.769891941
0.000064,358.15,1.33E-08,1903.703704,53.55371901,838.0103704,26.49728385
0.000164,358.15,0.00000002,1903.703704,53.55371901,384.3577778,14.5722846
0.000164,353.15,1.33E-08,1903.703704,53.55371901,525.4222222,19.74804919
0.000164,348.15,0.00000001,1903.703704,53.55371901,587.6733333,23.42524677
